BOARD M1,FANUP,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note,
Central,Eff/Res,Back,220,15127,42,18,0,300,-,8,,Good,,,
PA,Eff/Res,Back,221,15128,38,0,0,300,-,8,,Good,,,
PA,Eff/Res,Back,222,15129,42,0,0,300,-,8,,Good,,,
PA,Eff/Res,Back,223,15130,38,2,0,300,-,8,,Good,,,
PA,Eff/Res,Back,224,15132,42,2,0,300,-,8,,Good,,KeplerRun 15131 started and stopped by mistake,
PA,Pedestal,Back,225,,42,2,0,300,-,8,,Good,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Central,Angle scan,Back,226,15133,42,10,-10,300,-,8,,Good,,,
Central,Angle scan,Back,227,15134,42,10,-5,300,-,8,,Good,,,
Central,Angle scan,Back,228,15135,42,10,-2,300,-,8,,Good,,,
Central,Angle scan,Back,229,15136,42,10,0,300,-,8,,Good,,,
Central,Angle scan,Back,230,15137,42,10,2,300,-,8,,Good,,,
Central,Angle scan,Back,231,15138,42,10,5,300,-,8,,Good,,,
Central,Angle scan,Back,232,15139,42,10,10,300,-,8,,Good,,,
Central,Angle scan,Back,233,15140,42,10,15,300,-,8,,Good,,,
Central,Angle scan,Back,234,15141,42,10,20,300,-,8,,Good,,,
Central,Pedestal,Back,235,,42,10,20,300,-,8,,Good,,,
Central,Calibration,Back,236,,,,,300,-,8,,Good,,,
