BOARD M3,FANIN,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Central,Eff/Res,Top,259,15154,65,18,0,300,-,-1.64,-,Good,,
Central,Eff/Res,Top,260,15155,70,10,0,300,-,-1.40,-,Good,,
Central,Eff/Res,Top,261,15156,70,18,0,300,-,-1.04,-,Good,,
PA,Eff/Res,Top,262,15157,65,0,0,300,-,-0.93,-,Good,,
PA,Eff/Res,Top,263,15158,70,0,0,300,33,-0.84,-,Good,,There was no beam for few minutes
PA,Eff/Res,Top,264,15159,65,2,0,300,33,-0.68,-,Good,,
PA,Eff/Res,Top,265,15160,70,2,0,300,34,-0.67,-,Good,,
PA,Pedestal,Top,266,-,70,2,0,300,34,-0.67,-,Good,,
,,,,,,,,,,,,,,
PA,Eff/Res,Top,323,15202,68,0,0,300,40,-1.67,-,Good,,Access to move back the wires for FanIn top side bias
PA,Eff/Res,Top,324,15203,68,2,0,300,31,-1.9,-,Good,,
PA,Pedestal,Top,325,,68,2,0,300,31,-1.9,-,Good,,
,,,,,,,,,,,,,,
PA,Angle scan,Top,267,15161,65,2,-10,300,34,-0.67,-,Good,,x from 70 to 65 to have the beam in the center region of the DUT
PA,Angle scan,Top,268,15162,65,2,-5,300,34,-0.67,-,Good,,
PA,Angle scan,Top,269,15163,65,2,-2,300,34,-0.67,-,Good,,
PA,Angle scan,Top,270,15164,65,2,0,300,34,-0.59,-,Good,,
PA,Angle scan,Top,271,15165,65,2,2,300,34,-0.60,-,Good,,
PA,Angle scan,Top,272,15166,65,2,5,300,34,-0.60,-,Good,,
PA,Angle scan,Top,273,15167,65,2,10,300,34,-0.60,-,Good,,
PA,Angle scan,Top,274,15168,65,2,15,300,34,-0.60,-,Good,,Beam off for 20 minutes and then back
PA,Angle scan,Top,275,15169,65,2,20,300,34,-0.60,-,Good,,
PA,Pedestal,Top,276,-,65,2,20,300,34,-0.60,-,Good,,
PA,Calibration,Top,277,-,65,2,20,300,34,-0.60,-,Good,,"After this run, access to set the jumpers for M3 fan-up top biasing"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PA,Custom,Back,326,,,,,,,,,Bad,,After access for backside bias take test runs for system
PA,Custom,Back,327,,,,,,,,,Bad,,
PA,Bias Scan,Back,328,15204,70,2,0,50,14,-3.73,,Good,,
PA,Pedestal,Back,329,,70,2,0,50,-,,,,,
PA,Bias Scan,Back,330,15205,70,2,0,100,22,-3,,Good,,
PA,Pedestal,Back,331,,70,2,0,100,22,-3,,Good,,
PA,Bias Scan,Back,332,15206,70,2,0,150,27,-2.73,,Good,,
PA,Pedestal,Back,333,,70,2,0,150,27,-2.73,,Good,,
PA,Bias Scan,Back,334,15207,70,2,0,200,28,-2.73,,Good,,
PA,Pedestal,Back,335,,70,2,0,200,28,-2.73,,Good,,
PA,Bias Scan,Back,336,15208,70,2,0,250,29,-2.7,,Good,,
PA,Pedestal,Back,337,,70,2,0,250,29,-2.7,,Good,,
PA,Bias Scan,Back,338,15209,70,2,0,300,29,-2.71,,Good,,
PA,Pedestal,Back,339,,70,2,0,300,29,-2.71,,Good,,
PA,Bias Scan,Back,340,15210,70,2,0,350,30,-2.7,,Good,,
PA,Pedestal,Back,341,,70,2,0,350,30,-2.7,,Good,,
PA,Bias Scan,Back,342,15211,70,2,0,400,31,-2.71,,Good,,
PA,Pedestal,Back,343,,70,2,0,400,31,-2.71,,Good,,
PA,Bias Scan,Back,344,15212,70,2,0,450,32,-2.71,,Good,,
PA,Pedestal,Back,345,,70,2,0,450,32,-2.71,,Good,,
PA,Calibration,Back,346,,70,2,0,450,32,-2.71,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Central,Eff/Res,Back,347,15213,65,10,0,300,30,-2.7,,Good,,Telescop Run had hot pixel 
Central,Eff/Res,Back,348,15214,70,10,0,300,30,-2.71,,,,Check the correct voltage to use during bias scan
Central,Eff/Res,Back,349,15215,66,18,0,300,-,2.6,,,,
Central,Eff/Res,Back,350,15216,70,18,0,300,-,,,,,
PA,Eff/Res,Back,351,15217,66,0,0,300,-,,,,,
PA,Eff/Res,Back,352,15218,70,0,0,300,-,,,,,
PA,Eff/Res,Back,353,15219,66,2,0,300,-,,,,,
PA,Eff/Res,Back,354,15220,70,2,0,300,-,,,,,
PA,Pedestal,Back,355,,,,,300,-,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PA,Angle scan,Back,356,15221,65,2,-10,300,-,,,bad,,telescope problem
PA,Angle scan,Back,357,15222,65,2,-10,300,,,,,,
PA,Angle scan,Back,358,15223,65,2,-5,300,-,,,,,
PA,Angle scan,Back,359,15224,65,2,-2,300,-,,,,,
PA,Angle scan,Back,360,15225,65,2,0,300,-,,,,,
PA,Angle scan,Back,361,15226,65,2,2,300,-,,,"Kepler number edit by MP: originally it was 25226, probably by mistake",,
PA,Angle scan,Back,362,15227,65,2,5,300,-,,,"Kepler number edit by MP: originally it was 25227, probably by mistake",,
PA,Angle scan,Back,363,15228,65,2,10,300,-,,,"Kepler number edit by MP: originally it was 25228, probably by mistake",,
PA,Angle scan,Back,364,15229,65,2,15,300,-,,,"Kepler number edit by MP: originally it was 25229, probably by mistake",,
PA,Angle scan,Back,365,15230,65,2,20,300,-,,,"Kepler number edit by MP: originally it was 25230, probably by mistake",,
PA,Pedestal,Back,366,,65,2,,300,-,,,,,
PA,Calibration,Back,367,,,,,300,-,,,,,
