BOARD A3_LOWER,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note,,
2,Pedestal,Top,2279,-,43,7,0,250,0.8,-2.8,1.3,,,,,
2,Bias Scan,Top,2280,19351,43,7,0,300,0.9,-2.8,1.3,,,,,
2,Pedestal,Top,2281,-,43,7,0,300,0.9,-2.8,1.3,,,,,
2,Calibration,Top,2282,-,43,7,0,300,0.9,-2.8,1.3,,,,,
2,Bias Scan,Top,2283,19352,43,7,0,350,0.9,-2.8,1.3,,,,,
2,Pedestal,Top,2284,-,43,7,0,350,0.9,-2.8,1.3,,,,,
2,Bias Scan,Top,2285,19353,43,7,0,400,0.9,-2.8,1.3,,,,,
2,Pedestal,Top,2286,-,43,7,0,400,0.9,-2.8,1.3,,,,,
2,Calibration,Top,2287,-,43,7,0,400,0.9,-2.8,1.3,,,,,
2,Bias Scan,Top,2288,19354,43,7,0,500,0.9,-2.8,1.3,,,Do these after all other runs are done,,
2,Pedestal,Top,2289,-,43,7,0,500,0.9,-2.8,1.3,,,,,
2,Calibration,Top,2290,-,43,7,0,500,0.9,-2.8,1.3,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,Angle,Top,2368,19389,43,7,0,300,-3,1,GOOD,,,at FD voltage + 50 V,,
2,Pedestal,Top,2369,-,43,7,0,300,-3,1,GOOD,,,,,
2,Angle,Top,2370,19390,43,7,5,300,-3,1,GOOD,,,,,
2,Pedestal,Top,2371,-,43,7,5,300,-3,1,GOOD,,,,,
2,Angle,Top,2372,19391,43,7,10,300,-3,1,GOOD,,,,,
2,Pedestal,Top,2373,-,43,7,10,300,-3,1,GOOD,,,,,
2,Angle,Top,2374,19392,43,7,20,300,-3,1,GOOD,,,,,
2,Pedestal,Top,2375,-,43,7,20,300,-3,1,GOOD,,,,,
2,Angle,Top,2376,19393,43,7,-10,300,-3,1,GOOD,,,,,
2,Pedestal,Top,2377,-,43,7,-10,300,-3,1,GOOD,,,,,
