,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note,
4,Pedestal,Top Side,1268,-,60,"7,5",0,-250,99,"-0,1","1,5",Good,,,
4,Bias Scan,Top Side,1269,17195,60,"7,5",0,-250,99,"-0,1","1,5",Good,,,
,,,,,,,,,,,,,,,
5,Pedestal,Top Side,1270,-,73,"7,5",0,-50,56,"-0,1","1,5",Good,,,
5,Bias Scan,Top Side,1271,17196,73,"7,5",0,-50,56,"-0,1","1,5",Good,,,
5,Pedestal,Top Side,1272,-,73,"7,5",0,-100,80,"-0,1","1,5",Good,,,
5,Bias Scan,Top Side,1273,17197,73,"7,5",0,-100,80,"-0,1","1,5",Good,,,
5,Pedestal,Top Side,1274,-,73,"7,5",0,-150,94,"-0,1","1,5",Good,,,
5,Bias Scan,Top Side,1275,17198,73,"7,5",0,-150,94,"-0,1","1,5",Good,,,
5,Pedestal,Top Side,1276,-,73,"7,5",0,-200,97,"-0,1","1,5",Good,,,
5,Bias Scan,Top Side,1277,17199,73,"7,5",0,-200,97,"-0,1","1,5",Good,,,
5,Pedestal,Top Side,1278,-,73,"7,5",0,-250,98,"-0,1","1,5",Good,,,
5,Bias Scan,Top Side,1279,17200,73,"7,5",0,-250,98,"-0,1","1,5",Good,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Pedestal,Back Side,1280,-,37,"7,5",0,-250,103,0,5,Good,,,
1,Eff/Res,Back Side,1281,17201,37,"7,5",0,-250,103,0,"4,2",Good,,,
2,Pedestal,Back Side,1282,-,45,"7,5",0,-250,102,0,"2,7",Good,,,
2,Eff/Res,Back Side,1283,17202,45,"7,5",0,-250,102,0,"2,7",Good,,,
3,Pedestal,Back Side,1284,-,50,"7,5",0,-250,101,0,"2,2",Good,,,
3,Eff/Res,Back Side,1285,17203,50,"7,5",0,-250,101,0,"2,2",Good,,,
4,Pedestal,Back Side,1286,-,60,"7,5",0,-250,100,0,"1,8",Good,,,
4,Eff/Res,Back Side,1287,17204,60,"7,5",0,-250,100,0,"1,8",Good,,,
5,Pedestal,Back Side,1288,-,73,"7,5",0,-250,100,0,"1,6",Good,,,
5,Eff/Res,Back Side,1289,17205,73,"7,5",0,-250,100,0,"1,6",Good,,,
,,,,,,,,,,,,,,,
1,Pedestal,Back Side,1290,-,37,"7,5",0,-50,57,0,"1,4",Good,,,
1,Bias Scan,Back Side,1291,17206,37,"7,5",0,-50,57,0,"1,4",Good,,,
1,Pedestal,Back Side,1292,-,37,"7,5",0,-100,81,"-0,1","1,4",Good,,,
1,Bias Scan,Back Side,1293,17207,37,"7,5",0,-100,81,"-0,1","1,4",Good,,,
1,Pedestal,Back Side,1294,-,37,"7,5",0,-150,95,"-0,1","1,4",Good,,,
1,Bias Scan,Back Side,1295,17208,37,"7,5",0,-150,95,"-0,1","1,4",Good,,,
1,Pedestal,Back Side,1296,-,37,"7,5",0,-200,98,"-0,1","1,4",Good,,,
1,Bias Scan,Back Side,1297,17209,37,"7,5",0,-200,98,"-0,1","1,4",Good,,LHC fill during the run (about 1 hour),
1,Pedestal,Back Side,1298,-,37,"7,5",0,-250,99,0,1,Good,,,
1,Bias Scan,Back Side,1299,17210,37,"7,5",0,-250,99,0,1,Good,,,
,,,,,,,,,,,,,,,
2,Pedestal,Back Side,1300,-,45,"7,5",0,-50,57,0,1,Good,,,
2,Bias Scan,Back Side,1301,17211,45,"7,5",0,-50,57,0,1,Good,,,
2,Pedestal,Back Side,1302,-,45,"7,5",0,-100,81,0,1,Good,,,
2,Bias Scan,Back Side,1303,17212,45,"7,5",0,-100,81,0,1,Good,,One tpx3 plane started acquiring too much data. Going to take the run again,
2,Bias Scan,Back Side,1304,17213,45,"7,5",0,-100,81,0,1,Good,,,
2,Pedestal,Back Side,1305,-,45,"7,5",0,-150,95,0,1,Good,,,
2,Bias Scan,Back Side,1306,17214,45,"7,5",0,-150,95,0,1,Good,,,
2,Pedestal,Back Side,1307,-,45,"7,5",0,-200,98,0,1,Good,,,
2,Bias Scan,Back Side,1308,17215,45,"7,5",0,-200,98,0,1,Good,,,
2,Pedestal,Back Side,1309,-,45,"7,5",0,-250,99,0,1,Good,,,
2,Bias Scan,Back Side,1310,17216,45,"7,5",0,-250,99,0,1,Good,,,
,,,,,,,,,,,,,,,
3,Pedestal,Back Side,1311,-,50,"7,5",0,-50,57,0,1,Good,,,
3,Bias Scan,Back Side,1312,17217,50,"7,5",0,-50,57,0,1,Good,,,
3,Pedestal,Back Side,1313,-,50,"7,5",0,-100,81,0,1,Good,,,
3,Bias Scan,Back Side,1314,17218,50,"7,5",0,-100,81,0,1,Good,,,
3,Pedestal,Back Side,1315,-,50,"7,5",0,-150,95,0,1,Good,,,
3,Bias Scan,Back Side,1316,17219,50,"7,5",0,-150,95,0,1,Good,,,
3,Pedestal,Back Side,1317,-,50,"7,5",0,-200,98,0,1,Good,,,
3,Bias Scan,Back Side,1318,17220,50,"7,5",0,-200,98,0,1,Good,,,
3,Pedestal,Back Side,1319,-,50,"7,5",0,-250,99,0,1,Good,,,
3,Bias Scan,Back Side,1320,17221,50,"7,5",0,-250,99,0,1,Good,,,
,,,,,,,,,,,,,,,
4,Pedestal,Back Side,1321,-,60,"7,5",0,-50,57,0,1,Good,,,
4,Bias Scan,Back Side,1322,17222,60,"7,5",0,-50,57,0,1,Good,,,
4,Pedestal,Back Side,1323,-,60,"7,5",0,-100,81,0,1,Good,,,
4,Bias Scan,Back Side,1324,17223,60,"7,5",0,-100,81,0,1,Good,,,
4,Pedestal,Back Side,1325,-,60,"7,5",0,-150,94,0,1,Good,,,
4,Bias Scan,Back Side,1326,17224,60,"7,5",0,-150,94,0,1,Good,,,
4,Pedestal,Back Side,1327,-,60,"7,5",0,-200,97,"-0,1",1,Good,,,
4,Bias Scan,Back Side,1328,17225,60,"7,5",0,-200,97,"-0,1",1,Bad,,Beam off just at the beginning of the run,
4,Bias Scan,Back Side,1329,17226,60,"7,5",0,-200,97,"-0,1",1,Bad,,Beam off just at the beginning of the run,
4,Pedestal,Back Side,1330,-,60,"7,5",0,-200,99,"-0,1",1,Good,,,
4,Bias Scan,Back Side,1331,17227,60,"7,5",0,-200,99,"-0,1",1,Good,,,
4,Pedestal,Back Side,1332,-,60,"7,5",0,-250,100,"-0,1",1,Good,,,
4,Bias Scan,Back Side,1333,17228,60,"7,5",0,-250,100,"-0,1",1,Good,,,
,,,,,,,,,,,,,,,
5,Pedestal,Back Side,1334,-,73,"7,5",0,-50,58,"-0,1",1,Good,,,
5,Bias Scan,Back Side,1335,17229,73,"7,5",0,-50,58,"-0,1",1,Good,,,
5,Pedestal,Back Side,1336,-,73,"7,5",0,-100,82,"-0,1",1,Good,,,
5,Bias Scan,Back Side,1337,17230,73,"7,5",0,-100,82,"-0,1",1,Good,,,
5,Pedestal,Back Side,1338,-,73,"7,5",0,-150,95,"-0,1",1,Good,,,
5,Bias Scan,Back Side,1339,17231,73,"7,5",0,-150,95,"-0,1",1,Good,,,
5,Pedestal,Back Side,1340,-,73,"7,5",0,-200,97,"-0,1",1,Good,,,
5,Bias Scan,Back Side,1341,17232,73,"7,5",0,-200,97,"-0,1",1,Good,,,
5,Pedestal,Back Side,1342,-,73,"7,5",0,-250,99,"-0,1",1,Good,,Run taken together with kepler 17323,
5,Bias Scan,Back Side,1343,17234,73,"7,5",0,-250,99,"-0,1",1,Good,,,
