,FANIN,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
PA,Eff/Res,Back,539,15345,70,2,0,300,240,-3.5,,Good,,
PA,Pedestal,Back,540,,,,,300,-,,,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PA,Angle scan,Back,541,15346,68,2,-10,300,239,-3.5,,Good,,
PA,Angle scan,Back,542,15347,68,2,-5,300,239,-3.5,,Good,,
PA,Angle scan,Back,543,15348,68,2,-2,300,239,-3.5,,Good,,
PA,Angle scan,Back,544,15349,68,2,0,300,239,-3.5,,Good,,
PA,Angle scan,Back,545,15350,68,2,2,300,239,-3.5,,Good,,
PA,Angle scan,Back,546,15351,68,2,5,300,239,-3.5,,Good,,
PA,Angle scan,Back,547,15352,68,2,10,300,239,-3.5,,Good,,
PA,Angle scan,Back,548,15353,68,2,15,300,239,-3.5,,Good,,
PA,Angle scan,Back,549,15354,68,2,20,300,239,-3.5,,Good,,
PA,Pedestal,Back,550,-,68,2,20,300,239,-3.5,,Good,,
PA,Calibration,Back,551,-,68,2,20,300,239,-3.5,,Good,,
